"regine" "main" "date" "FGP" "flood.1" "threshold" "station" "year"
"158" 2 11 "1973-06-02" 0.2385 24.049143 13.5700218 "2.11" "1973"
"159" 2 11 "1973-07-21" 1 14.733979 13.5700218 "2.11" "1973"
"160" 2 11 "1975-05-12" 0.1045 28.04052 13.5700218 "2.11" "1975"
"161" 2 11 "1976-05-14" 0.1528 17.571106 13.5700218 "2.11" "1976"
"162" 2 11 "1977-05-25" 0.06 23.102079 13.5700218 "2.11" "1977"
"163" 2 11 "1978-05-24" 0.1327 35.814919 13.5700218 "2.11" "1978"
"164" 2 11 "1979-05-18" 0.0277 23.102079 13.5700218 "2.11" "1979"
"165" 2 11 "1979-05-26" 0.1835 26.337837 13.5700218 "2.11" "1979"
"166" 2 11 "1981-05-13" 2e-04 25.67263 13.5700218 "2.11" "1981"
"167" 2 11 "1982-05-31" 0.1273 23.102079 13.5700218 "2.11" "1982"
"168" 2 11 "1983-05-20" 0.3623 26.004103 13.5700218 "2.11" "1983"
"169" 2 11 "1984-05-03" 0.0215 15.734953 13.5700218 "2.11" "1984"
"170" 2 11 "1984-05-18" 0.3129 15.481428 13.5700218 "2.11" "1984"
"171" 2 11 "1984-05-28" 0.6617 16.770987 13.5700218 "2.11" "1984"
"172" 2 11 "1985-05-28" 0.0781 39.043621 13.5700218 "2.11" "1985"
"173" 2 11 "1985-09-10" 0.9378 15.481428 13.5700218 "2.11" "1985"
"174" 2 11 "1986-05-06" 0.0294 26.004103 13.5700218 "2.11" "1986"
"175" 2 11 "1987-05-02" 0.1382 26.337837 13.5700218 "2.11" "1987"
"176" 2 11 "1987-05-26" 0.3462 14.489197 13.5700218 "2.11" "1987"
"177" 2 11 "1987-06-10" 0.4518 16.508684 13.5700218 "2.11" "1987"
"178" 2 11 "1987-06-18" 0.8715 17.571106 13.5700218 "2.11" "1987"
"179" 2 11 "1988-05-17" 0.0293 18.115549 13.5700218 "2.11" "1988"
"180" 2 11 "1988-05-29" 0.0546 24.049143 13.5700218 "2.11" "1988"
"181" 2 11 "1989-08-02" 1 29.729725 13.5700218 "2.11" "1989"
"182" 2 11 "1990-05-04" 0.0177 22.30748 13.5700218 "2.11" "1990"
"183" 2 11 "1991-06-20" 0.9621 14.272133 13.5700218 "2.11" "1991"
"184" 2 11 "1992-05-16" 0.1479 24.764153 13.5700218 "2.11" "1992"
"185" 2 11 "1993-05-01" 0.0021 28.699007 13.5700218 "2.11" "1993"
"186" 2 11 "1993-05-17" 0.4121 16.745056 13.5700218 "2.11" "1993"
"187" 2 11 "1995-06-02" 0.3406 39.532528 13.5700218 "2.11" "1995"
"188" 2 11 "1996-05-15" 0.1901 14.565022 13.5700218 "2.11" "1996"
"189" 2 11 "1997-05-18" 0.2242 18.044592 13.5700218 "2.11" "1997"
"190" 2 11 "1997-06-03" 0.0865 17.755781 13.5700218 "2.11" "1997"
"191" 2 11 "1998-05-17" 0.0347 17.003613 13.5700218 "2.11" "1998"
"192" 2 11 "1999-05-23" 0.0562 14.541799 13.5700218 "2.11" "1999"
"193" 2 11 "1999-06-06" 0.4841 14.738955 13.5700218 "2.11" "1999"
"194" 2 11 "2000-05-02" 0.0707 24.750875 13.5700218 "2.11" "2000"
"195" 2 11 "2001-05-20" 0.0573 17.239193 13.5700218 "2.11" "2001"
